Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",SEA,Home,BOS,L,4.0,6.0,9.0,0-1,2.0,1.0,Bello,Castillo,Jansen,2:45,N,45337.0,.95,-1,
"Friday, Mar 29",SEA,Home,BOS,W,1.0,0.0,9.0,1-1,2.0,0.5,Kirby,Pivetta,Muñoz,2:24,N,30013.0,.93,1,
"Saturday, Mar 30",SEA,Home,BOS,W-wo,4.0,3.0,10.0,2-1,2.0,0.5,Saucedo,Rodríguez,None,2:46,N,32149.0,.96,2,
"Sunday, Mar 31",SEA,Home,BOS,L,1.0,5.0,9.0,2-2,2.0,0.5,Whitlock,Miller,Slaten,2:32,D,29331.0,.99,-1,
"Monday, Apr 1",SEA,Home,CLE,W,5.0,4.0,9.0,3-2,2.0,0.5,Hancock,McKenzie,Stanek,2:35,N,21322.0,.94,1,
"Tuesday, Apr 2",SEA,Home,CLE,L,2.0,5.0,9.0,3-3,3.0,0.5,Bieber,Castillo,Clase,2:27,N,20646.0,.97,-1,
"Wednesday, Apr 3",SEA,Home,CLE,L,0.0,8.0,9.0,3-4,3.0,1.5,Allen,Kirby,None,2:22,D,22583.0,.97,-2,
"Friday, Apr 5",SEA,@,MIL,L-wo,5.0,6.0,9.0,3-5,3.0,2.5,Uribe,Muñoz,None,2:47,N,23035.0,.86,-3,
"Saturday, Apr 6",SEA,@,MIL,W,5.0,3.0,9.0,4-5,3.0,2.5,Miller,Hall,Muñoz,2:25,N,35522.0,.79,1,
"Sunday, Apr 7",SEA,@,MIL,L,4.0,12.0,9.0,4-6,3.0,2.5,Rea,Hancock,Vieira,2:36,D,25573.0,.87,-1,
"Monday, Apr 8",SEA,@,TOR,L,2.0,5.0,9.0,4-7,3.0,2.5,Berríos,Castillo,None,2:33,N,40069.0,.85,-2,
"Tuesday, Apr 9",SEA,@,TOR,L,3.0,5.0,9.0,4-8,4.0,2.5,Bassitt,Kirby,Green,2:53,N,31310.0,.82,-3,
"Wednesday, Apr 10",SEA,@,TOR,W,6.0,1.0,10.0,5-8,3.0,2.5,Muñoz,Mayza,None,2:40,D,22960.0,.77,1,
"Friday, Apr 12",SEA,Home,CHC,W,4.0,2.0,9.0,6-8,3.0,2.0,Miller,Wicks,Stanek,2:35,N,33500.0,.76,2,
"Saturday, Apr 13",SEA,Home,CHC,L,1.0,4.0,9.0,6-9,3.0,2.0,Imanaga,Hancock,Alzolay,2:24,N,38104.0,.80,-1,
"Sunday, Apr 14",SEA,Home,CHC,L,2.0,3.0,9.0,6-10,4.0,2.0,Assad,Castillo,Alzolay,2:35,D,32423.0,.79,-2,
"Monday, Apr 15",SEA,Home,CIN,W,9.0,3.0,9.0,7-10,3.0,2.0,Kirby,Montas,None,2:30,N,16008.0,.72,1,
"Tuesday, Apr 16",SEA,Home,CIN,W,3.0,1.0,9.0,8-10,3.0,1.0,Gilbert,Pagán,Saucedo,2:51,N,17291.0,.77,2,
"Wednesday, Apr 17",SEA,Home,CIN,W,5.0,1.0,9.0,9-10,3.0,1.0,Miller,Abbott,None,2:20,D,17225.0,.80,3,
"Saturday, Apr 20",SEA,@,COL,W,7.0,0.0,9.0,10-10,1.0,Tied,Castillo,Hudson,None,2:32,N,25376.0,.83,4,
"Sunday, Apr 21 (1)",SEA,@,COL,L-wo,1.0,2.0,10.0,10-11,2.0,0.5,Lawrence,Muñoz,None,2:57,D,33283.0,.96,-1,
"Sunday, Apr 21 (2)",SEA,@,COL,W,10.0,2.0,9.0,11-11,2.0,0.5,Hancock,Lambert,None,2:33,N,19756.0,.90,1,
"Tuesday, Apr 23",SEA,@,TEX,W,4.0,0.0,9.0,12-11,1.0,up 0.5,Gilbert,Dunning,None,2:29,N,27295.0,1.08,2,
"Wednesday, Apr 24",SEA,@,TEX,L,1.0,5.0,9.0,12-12,2.0,0.5,Hernández,Miller,None,2:57,N,31896.0,1.12,-1,
"Thursday, Apr 25",SEA,@,TEX,W,4.0,3.0,9.0,13-12,1.0,up 0.5,Castillo,Heaney,Muñoz,2:18,D,21782.0,1.11,1,
"Friday, Apr 26",SEA,Home,ARI,W,6.0,1.0,9.0,14-12,1.0,up 0.5,Hancock,Gallen,None,2:09,N,33997.0,.99,2,
"Saturday, Apr 27",SEA,Home,ARI,W,3.0,1.0,9.0,15-12,1.0,up 1.5,Kirby,Cecconi,Muñoz,2:16,N,38956.0,1.04,3,
"Sunday, Apr 28",SEA,Home,ARI,L,2.0,3.0,9.0,15-13,1.0,up 0.5,Mantiply,Thornton,Ginkel,2:26,D,33474.0,1.08,-1,
"Monday, Apr 29",SEA,Home,ATL,W-wo,2.0,1.0,9.0,16-13,1.0,up 1.0,Voth,Minter,None,2:29,N,26452.0,1.02,1,
"Tuesday, Apr 30",SEA,Home,ATL,W,3.0,2.0,9.0,17-13,1.0,up 1.0,Castillo,López,Muñoz,2:16,N,23534.0,1.03,2,
