variable,n_missing,n_total,pct_missing
game_id,0,20686,0.0
game_date,0,20686,0.0
run_diff,0,20686,0.0
total_runs,0,20686,0.0
home_win,0,20686,0.0
away_probable_pitcher,0,20686,0.0
home_probable_pitcher,0,20686,0.0
losing_pitcher,0,20686,0.0
winning_pitcher,0,20686,0.0
doubleheader,0,20686,0.0
game_type,0,20686,0.0
venue_name,0,20686,0.0
venue_id,0,20686,0.0
home_score,0,20686,0.0
home_name,0,20686,0.0
home_id,0,20686,0.0
away_score,0,20686,0.0
away_name,0,20686,0.0
away_id,0,20686,0.0
status,0,20686,0.0
game_datetime,0,20686,0.0
day_of_week,0,20686,0.0
